strike,expiration,historical_delta,current_delta,delta_change,delta_change_pct,historical_volume,current_volume,historical_oi,current_oi,days_to_expiry
220.0,2026-06-18,-0.3217,-0.32171,-1.0000000000010001e-05,-0.0031084861672396645,30,30,3476,3476,302
225.0,2025-09-12,-0.3203,-0.32034,-4.0000000000040004e-05,-0.012488292226050579,704,704,1014,1014,23
220.0,2026-08-21,-0.3184,-0.31837,3.0000000000030003e-05,0.009422110552773241,3,3,140,140,366
220.0,2026-04-17,-0.3171,-0.31706,3.999999999998449e-05,0.01261431725007395,20,20,0,0,240
220.0,2026-03-20,-0.3169,-0.31693,-2.999999999997449e-05,-0.009466708740919687,46,46,4323,4323,212
220.0,2026-02-20,-0.316,-0.31599,1.0000000000010001e-05,0.003164556962028481,28,28,20799,20799,184
220.0,2026-01-16,-0.3131,-0.31306,3.999999999998449e-05,0.012775471095491694,414,414,16416,16416,149
220.0,2026-12-18,-0.3107,-0.31072,-2.0000000000020002e-05,-0.006437077566791118,27,27,6607,6607,485
220.0,2027-01-15,-0.3088,-0.3088,0.0,0.0,2,2,6786,6786,513
220.0,2025-12-19,-0.3084,-0.30836,3.999999999998449e-05,0.01297016861218693,45,45,8582,8582,121
225.0,2027-12-17,-0.306,-0.30603,-3.0000000000030003e-05,-0.009803921568637256,1,1,226,226,849
227.5,2025-08-22,-0.3039,-0.30392,-2.0000000000020002e-05,-0.0065811122079697274,10769,10769,7491,7491,2
225.0,2025-09-05,-0.3,-0.30001,-1.0000000000010001e-05,-0.0033333333333366673,1064,1064,3072,3072,16
220.0,2025-11-21,-0.2999,-0.29987,2.999999999997449e-05,0.010003334444806434,468,468,5084,5084,93
215.0,2026-06-18,-0.2894,-0.28943,-3.0000000000030003e-05,-0.010366275051841744,30,30,2174,2174,302
220.0,2027-12-17,-0.2886,-0.28864,-3.999999999998449e-05,-0.013860013860008487,2,2,553,553,849
215.0,2026-09-18,-0.2885,-0.28851,-1.0000000000010001e-05,-0.003466204506069325,1,1,537,537,394
215.0,2026-04-17,-0.2875,-0.28755,-4.999999999999449e-05,-0.017391304347824172,20,20,0,0,240
215.0,2026-02-20,-0.2823,-0.28232,-2.0000000000020002e-05,-0.007084661707410556,5,5,505,505,184
222.5,2025-09-19,-0.2808,-0.28081,-1.0000000000010001e-05,-0.0035612535612571227,529,529,0,0,30
220.0,2025-10-17,-0.2776,-0.27761,-1.0000000000010001e-05,-0.0036023054755079252,597,597,12833,12833,58
225.0,2025-08-29,-0.2757,-0.2757,0.0,0.0,3467,3467,4060,4060,9
210.0,2027-01-15,-0.2669,-0.26693,-2.999999999997449e-05,-0.011240164855741658,11,11,7876,7876,513
215.0,2026-01-16,-0.265,-0.26501,-1.0000000000010001e-05,-0.0037735849056641513,178,178,13285,13285,149
210.0,2027-06-17,-0.2619,-0.26192,-1.999999999996449e-05,-0.007636502481849748,1,1,803,803,666
210.0,2026-09-18,-0.261,-0.26097,3.0000000000030003e-05,0.011494252873574713,68,68,1313,1313,394
210.0,2026-12-18,-0.2607,-0.26072,-2.0000000000020002e-05,-0.007671653241281167,47,47,2143,2143,485
210.0,2026-08-21,-0.2605,-0.26053,-2.999999999997449e-05,-0.011516314779260841,30,30,107,107,366
210.0,2026-06-18,-0.258,-0.25805,-4.999999999999449e-05,-0.019379844961238173,20,20,6970,6970,302
215.0,2025-12-19,-0.2558,-0.25576,4.0000000000040004e-05,0.01563721657546521,243,243,7696,7696,121
210.0,2026-05-15,-0.2556,-0.25557,2.999999999997449e-05,0.011737089201867956,1,1,1738,1738,268
210.0,2027-12-17,-0.2542,-0.25419,9.99999999995449e-06,0.003933910306827101,5,5,845,845,849
215.0,2025-11-21,-0.2541,-0.25407,2.999999999997449e-05,0.011806375442729042,736,736,2497,2497,93
210.0,2026-04-17,-0.2526,-0.25263,-3.0000000000030003e-05,-0.011876484560581949,275,275,0,0,240
210.0,2026-03-20,-0.2486,-0.24859,9.999999999982245e-06,0.00402252614641281,101,101,4838,4838,212
220.0,2025-09-26,-0.2484,-0.24845,-4.999999999999449e-05,-0.020128824476648346,141,141,735,735,37
210.0,2026-02-20,-0.243,-0.24305,-4.999999999999449e-05,-0.020576131687240533,260,260,1650,1650,184
222.5,2025-09-05,-0.235,-0.23498,1.9999999999992246e-05,0.008510638297869041,752,752,0,0,16
205.0,2026-09-18,-0.2342,-0.23423,-3.0000000000002247e-05,-0.012809564474808816,149,149,671,671,394
210.0,2026-01-16,-0.233,-0.23298,2.0000000000020002e-05,0.008583690987133047,78,78,37220,37220,149
220.0,2025-09-19,-0.2325,-0.23247,3.0000000000002247e-05,0.01290322580645258,1796,1796,15313,15313,30
205.0,2026-06-18,-0.2278,-0.22785,-4.999999999999449e-05,-0.021949078138715754,36,36,3778,3778,302
200.0,2027-06-17,-0.2235,-0.22346,4.000000000001225e-05,0.017897091722600556,13,13,3719,3719,666
200.0,2027-01-15,-0.2229,-0.22293,-3.0000000000002247e-05,-0.013458950201885263,101,101,14940,14940,513
200.0,2026-12-18,-0.2223,-0.22231,-1.0000000000010001e-05,-0.004498425551061629,44,44,8287,8287,485
210.0,2025-12-19,-0.221,-0.221,0.0,0.0,496,496,5524,5524,121
200.0,2027-12-17,-0.2205,-0.22051,-1.0000000000010001e-05,-0.004535147392294785,6,6,3519,3519,849
205.0,2026-04-17,-0.2193,-0.21932,-1.9999999999992246e-05,-0.00911992704058014,1,1,0,0,240
200.0,2026-09-18,-0.2185,-0.2185,0.0,0.0,47,47,1974,1974,394
200.0,2026-08-21,-0.2166,-0.21658,1.9999999999992246e-05,0.009233610341640002,4,4,520,520,366
220.0,2025-09-12,-0.2104,-0.21042,-1.9999999999992246e-05,-0.009505703422049547,953,953,1662,1662,23
200.0,2026-06-18,-0.2102,-0.21017,3.0000000000002247e-05,0.014272121788773667,86,86,6414,6414,302
215.0,2025-10-17,-0.208,-0.20803,-3.0000000000002247e-05,-0.014423076923078003,242,242,5845,5845,58
205.0,2026-02-20,-0.2061,-0.20611,-9.999999999982245e-06,-0.004852013585629425,11,11,3406,3406,184
225.0,2025-08-22,-0.2058,-0.20584,-3.999999999998449e-05,-0.019436345966950673,10360,10360,10975,10975,2
200.0,2026-05-15,-0.2052,-0.2052,0.0,0.0,7,7,594,594,268
195.0,2027-06-17,-0.2048,-0.20484,-3.999999999998449e-05,-0.01953124999999243,1,1,507,507,666
217.5,2025-09-19,-0.2046,-0.20459,1.0000000000010001e-05,0.004887585532751711,463,463,0,0,30
195.0,2027-12-17,-0.2041,-0.2041,0.0,0.0,1,1,1611,1611,849
210.0,2025-11-21,-0.2032,-0.20315,4.999999999999449e-05,0.024606299212595713,304,304,3040,3040,93
222.5,2025-08-29,-0.203,-0.20297,3.0000000000002247e-05,0.014778325123153814,832,832,2377,2377,9
195.0,2026-12-18,-0.2007,-0.20067,3.0000000000002247e-05,0.014947683109119207,19,19,1723,1723,485
195.0,2026-09-18,-0.1948,-0.19483,-3.0000000000002247e-05,-0.015400410677619223,22,22,883,883,394
220.0,2025-09-05,-0.1946,-0.19455,4.999999999999449e-05,0.025693730729699122,549,549,2519,2519,16
205.0,2026-01-16,-0.1932,-0.19322,-1.9999999999992246e-05,-0.01035196687370199,29,29,14119,14119,149
200.0,2026-04-17,-0.188,-0.18797,3.0000000000002247e-05,0.015957446808511834,7,7,2,2,240
190.0,2027-06-17,-0.1867,-0.18673,-3.0000000000002247e-05,-0.01606855918586087,5,5,729,729,666
215.0,2025-09-26,-0.1856,-0.18558,1.9999999999992246e-05,0.01077586206896134,152,152,566,566,37
200.0,2026-02-20,-0.1849,-0.18488,2.0000000000020002e-05,0.010816657652796107,98,98,2711,2711,184
195.0,2026-06-18,-0.1839,-0.18392,-1.9999999999992246e-05,-0.010875475802062122,23,23,6640,6640,302
190.0,2027-01-15,-0.1815,-0.18147,3.0000000000002247e-05,0.016528925619835946,1,1,6451,6451,513
200.0,2026-03-20,-0.1809,-0.18089,1.0000000000010001e-05,0.005527915975682698,357,357,6536,6536,212
190.0,2026-12-18,-0.1798,-0.17983,-3.0000000000002247e-05,-0.016685205784205924,35,35,2788,2788,485
205.0,2025-12-19,-0.1786,-0.17862,-1.9999999999992246e-05,-0.01119820828666979,93,93,6088,6088,121
195.0,2026-05-15,-0.1778,-0.17782,-1.9999999999992246e-05,-0.011248593925754918,11,11,320,320,268
185.0,2027-12-17,-0.1724,-0.17239,1.0000000000010001e-05,0.005800464037128771,2,2,562,562,849
190.0,2026-09-18,-0.1722,-0.17223,-3.0000000000002247e-05,-0.017421602787457753,1,1,1261,1261,394
205.0,2025-11-21,-0.1721,-0.17208,1.9999999999992246e-05,0.011621150493894391,103,103,2743,2743,93
